condition,events,alerts,no_alerts,alert_rate_pct,max_non_noise_confidence,mean_spectral_snr_db,mean_end_to_end_ms,mean_inference_ms,top_predictions
wifi_heavy_2412_no_drone,30,0,30,0.0,0.9993899607975889,10.634801790828769,366.0692017331409,122.80865770396001,Noise:30
bluetooth_heavy_2402_no_drone,30,0,30,0.0,0.980745740347306,10.549810190996956,358.8541048297581,124.52370693596701,Noise:30
random_2440_no_drone,30,0,30,0.0,0.9915859131061904,11.321287404758273,358.93241306281806,122.69296923380655,Noise:30
soak_2470_no_drone,150,0,150,0.0,0.974172552111491,12.191658211245876,350.8064978913171,122.42145363454863,Noise:150
