dataset,model_name,model_family,split,eval_accuracy,eval_macro_f1,eval_weighted_f1,model_path,model_exists,model_size_mb,source,notes
deepradar2022,cnn_transformer_deepradar2022_continued_stage2,cnn_transformer,all_test,0.4460997442455243,0.3972790252598032,0.3972790252598032,,,,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/deepradar2022/deepradar2022_cnn_transformer_stage2_result.json,Notebook 33 DeepRadar artifact
noisy_drone_rf_v2,noisy_drone_rf_v2_vgg_full_complex_spectrogram,vgg_full_complex_spectrogram,balanced_test,0.9802955665024631,0.9806688379936015,0.9806688379936014,/home/rameyjm7/workspace/ML-wireless-signal-classification/models/noisy_drone_rf_v2/noisy_drone_rf_v2_vgg_full_complex_spectrogram_best.keras,True,35.789,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/50_evaluation_comparison/50_noisy_drone_rf_v2_eval_metrics.json,Notebook 50 Cell 4 eval-only metrics
noisy_drone_rf_v2,noisy_drone_rf_v2_vgg_full_complex_spectrogram,vgg_full_complex_spectrogram,natural_test,0.9768875192604006,0.9775421758630028,0.9766794151024154,/home/rameyjm7/workspace/ML-wireless-signal-classification/models/noisy_drone_rf_v2/noisy_drone_rf_v2_vgg_full_complex_spectrogram_best.keras,True,35.789,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/50_evaluation_comparison/50_noisy_drone_rf_v2_eval_metrics.json,Notebook 50 Cell 4 eval-only metrics
rml2016,cnn_transformer,cnn_transformer,all_test,0.6644772727272727,0.6591516426050247,0.6591516426050247,,,,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/rml2016/rml2016_cnn_transformer_comparison.json,Notebook 33 comparison artifact
rml2016,lstm_teacher,lstm_teacher,all_test,0.5881136363636363,0.6324947076528286,0.6324947076528286,,,,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/rml2016/rml2016_cnn_transformer_comparison.json,Notebook 33 comparison artifact
rml2016,cnn_transformer,cnn_transformer,test_snr_gt_-2db,0.8969100231407958,0.8900281690480308,0.891263166056103,,,,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/rml2016/rml2016_cnn_transformer_comparison.json,Notebook 33 comparison artifact
rml2018,rml2018_lstm_continued_500_20260413_235547,lstm,all_test,0.8295139074325562,,,,,,/home/rameyjm7/workspace/ML-wireless-signal-classification/outputs/rml2018/rml2018_checkpoint_metrics.json,Best checkpoint by eval_accuracy
